,date,day,month,year,battle,air_strike,massacre,barrel_bomb,shelling,chemical
0,2011-04-01,1,4,2011,3,0,3,0,2,0
1,2011-05-01,1,5,2011,3,0,3,0,0,0
2,2011-06-01,1,6,2011,21,0,4,0,1,0
3,2011-07-01,1,7,2011,17,0,6,0,0,0
4,2011-08-01,1,8,2011,1,0,1,0,1,0
5,2011-09-01,1,9,2011,2,0,3,0,0,0
6,2011-10-01,1,10,2011,9,0,13,0,2,0
7,2011-11-01,1,11,2011,2,1,2,0,1,0
8,2011-12-01,1,12,2011,7,0,2,0,0,0
9,2012-01-01,1,1,2012,3,0,16,0,6,0
10,2012-02-01,1,2,2012,66,0,88,0,18,0
11,2012-03-01,1,3,2012,14,0,43,0,7,0
12,2012-04-01,1,4,2012,3,0,7,0,3,0
13,2012-05-01,1,5,2012,1,0,0,0,0,0
14,2012-06-01,1,6,2012,17,1,32,0,24,0
15,2012-07-01,1,7,2012,24,2,60,0,45,1
16,2012-08-01,1,8,2012,32,12,63,0,65,0
17,2012-09-01,1,9,2012,18,9,61,0,49,0
18,2012-10-01,1,10,2012,39,16,74,2,57,0
19,2012-11-01,1,11,2012,26,11,36,0,57,0
20,2012-12-01,1,12,2012,47,14,63,3,75,1
21,2013-01-01,1,1,2013,49,11,55,0,54,0
22,2013-02-01,1,2,2013,29,3,37,1,34,0
23,2013-03-01,1,3,2013,15,1,24,0,22,5
24,2013-04-01,1,4,2013,16,2,28,0,31,6
25,2013-05-01,1,5,2013,16,5,27,0,28,5
26,2013-06-01,1,6,2013,40,4,20,0,50,10
27,2013-07-01,1,7,2013,7,5,10,2,12,11
28,2013-08-01,1,8,2013,22,3,29,0,9,42
29,2013-09-01,1,9,2013,20,5,11,2,17,32
30,2013-10-01,1,10,2013,9,1,11,0,6,3
31,2013-11-01,1,11,2013,16,1,12,0,9,0
32,2013-12-01,1,12,2013,10,3,20,0,5,0
33,2014-01-01,1,1,2014,24,14,36,10,41,5
34,2014-02-01,1,2,2014,24,1,3,2,13,0
35,2014-03-01,1,3,2014,48,10,15,4,54,1
36,2014-04-01,1,4,2014,15,7,8,5,29,5
37,2014-05-01,1,5,2014,23,1,7,3,17,2
38,2014-06-01,1,6,2014,13,3,11,5,16,0
39,2014-07-01,1,7,2014,17,3,3,2,13,0
40,2014-08-01,1,8,2014,7,3,3,0,10,0
41,2014-09-01,1,9,2014,0,0,0,0,0,0
42,2014-10-01,1,10,2014,0,0,0,0,0,0
43,2014-11-01,1,11,2014,1,3,2,1,1,0
44,2014-12-01,1,12,2014,112,56,12,10,30,0
45,2015-01-01,1,1,2015,380,92,22,28,75,0
46,2015-02-01,1,2,2015,308,75,29,33,63,0
47,2015-03-01,1,3,2015,323,86,32,40,71,8
48,2015-04-01,1,4,2015,204,184,74,84,104,5
49,2015-05-01,1,5,2015,200,146,67,101,60,1
50,2015-06-01,1,6,2015,169,90,43,74,62,1
51,2015-07-01,1,7,2015,170,148,54,80,59,0
52,2015-08-01,1,8,2015,101,141,43,23,43,2
53,2015-09-01,1,9,2015,14,1,4,2,5,0
54,2015-10-01,1,10,2015,17,6,2,3,1,0
55,2015-11-01,1,11,2015,20,8,3,4,5,0
56,2015-12-01,1,12,2015,14,0,2,5,2,0
57,2016-01-01,1,1,2016,8,2,2,2,1,0
58,2016-02-01,1,2,2016,13,2,5,4,7,2
59,2016-03-01,1,3,2016,11,0,2,3,2,0
