"","Group.1","x"
"1","2012-01",10861
"2","2012-02",2906
"3","2012-03",4861
"4","2012-04",32042
"5","2012-05",13079
"6","2012-06",26553
"7","2012-07",31555
"8","2012-08",69614
"9","2012-09",51935
"10","2012-10",53911
"11","2012-11",101753
"12","2012-12",90895
"13","2013-01",132790
"14","2013-02",141622
"15","2013-03",221869
"16","2013-04",251717
"17","2013-05",177073
"18","2013-06",135359
"19","2013-07",142970
"20","2013-08",133343
"21","2013-09",171044
"22","2013-10",107077
"23","2013-11",133302
"24","2013-12",55537
"25","2014-01",97308
"26","2014-02",82530
"27","2014-03",95812
"28","2014-04",111970
"29","2014-05",75552
"30","2014-06",81668
"31","2014-07",67169
"32","2014-08",52322
"33","2014-09",41443
"34","2014-10",85696
"35","2014-11",110772
"36","2014-12",514091
"37","2015-01",11876
"38","2015-02",19377
"39","2015-03",205980
"40","2015-04",23758
"41","2015-05",1631
"42","2015-06",3840
"43","2015-07",26437
"44","2015-08",72822
"45","2015-09",-38072
"46","2015-10",131491
"47","2015-11",102869
"48","2015-12",315188
"49","2016-01",1766
"50","2016-02",178944
"51","2016-03",18011
"52","2016-04",42719
"53","2016-05",1982
"54","2016-06",-21008
"55","2016-07",-4433
"56","2016-08",-15465
"57","2016-09",-18146
"58","2016-10",19376
"59","2016-11",11272
"60","2016-12",44715
"61","2017-01",46989
"62","2017-02",55987
